power,	 Rx_OK,	 send_total,  RX_OK_Percent
-75	 1000	 1000	 100.0%
-76	 1000	 1000	 100.0%
-77	 999	 1000	 99.9%
-78	 999	 1000	 99.9%
-79	 1000	 1000	 100.0%
-80	 1000	 1000	 100.0%
-81	 1000	 1000	 100.0%
-82	 1000	 1000	 100.0%
-83	 999	 1000	 99.9%
-84	 1000	 1000	 100.0%
-85	 1000	 1000	 100.0%
-86	 1000	 1000	 100.0%
-87	 1000	 1000	 100.0%
-88	 1000	 1000	 100.0%
-89	 1000	 1000	 100.0%
-90	 1000	 1000	 100.0%
-91	 1000	 1000	 100.0%
-92	 994	 1000	 99.4%
-93	 954	 1000	 95.4%
-94	 827	 1000	 82.7%
-95	 400	 1000	 40.0%
